Species,DL1.1,DL1.2,DL2.1,DL2.2,DL3.1,DL3.2,RL1.1,RL1.2,RL2.1,RL2.2,RL3.1,RL3.2,DUL1.1,DUL1.2,RUL1.1,RUL1.2
LPC 16:0,2242630,2303122,3398364,3067312,2814561,3092758,2593055,2397344,2983120,2548210,4175977,4319638,4257887,3863251,6192482,4948806
LPC 16:0 (d9),2000624,2107975,2879677,4096698,2485633,6334531,2037593,2322189,2061198,2250649,3111687,5240930,694599,808646,948636,1443365
LPC 18:0,1351493,1557088,2561195,2531905,1798646,2174270,1740136,1746525,1616382,1752650,1954493,2356746,1647667,1938487,2491662,1975308
LPC 18:0 (d9),223441,227865,353489,320466,269763,322009,228975,230634,271309,244010,369119,415912,0,0,0,0
LPC 18:1,1600811,1536651,2212061,1784691,1858506,1937750,1620817,1885016,2190319,1784916,3088878,2770771,3578866,3756830,5520891,3500908
LPC18:1 (d9),575366,528481,771927,657842,703536,689307,522181,457063,746916,558923,1095013,986584,0,0,0,0
PC(14:0_18:1) (d9),1307472,1624475,2076368,2219787,1663218,1981279,1755539,1951545,1660908,1898605,2435911,2916940,0,0,0,0
PC(14:0_18:1),3394573,4011668,5368479,5532300,3985271,4976461,4531610,5424599,4531436,5106012,6049545,7474171,10932688,15268943,14705142,15134086
PC(16:0_18:2) (d9),7961316,9583003,13190451,13335258,9597494,11681641,10035020,10913996,8952018,10905855,13942139,16498399,526540,458317,545986,751182
PC(16:0_18:2),20847646,26280763,36974341,37192633,23747061,30051640,33145795,35914232,30021686,37408298,35092674,40771904,33626230,44853503,56389067,61090835
PC(16:0_18:3) (d9),986639,1376374,1910738,1995141,1576319,1745954,1371361,1537095,1151627,1642890,2259496,2856060,0,0,0,0
PC(16:0_18:3),2028724,2404716,3164322,3282477,2285990,2866778,2963888,2957840,2606147,3248227,3769331,4908411,4234025,5567979,5438120,5696098
PC(16:0_20:4) (d9),2522758,2950575,4142844,4196278,3063295,3587162,3055741,3246575,2608307,3257843,4199363,4935638,167770,233862,46482,38554
PC(16:0_20:4),5441844,6750655,9447832,9755035,6368071,8376682,8178697,8934687,7282430,9279590,9600491,10926558,8817676,11859020,12565702,13872202
PC(16:0_16:0) (d9),495396438,410480150,541133029,524781458,397789178,315883663,667148790,549586352,443899278,358352965,437701762,400418046,14673137,12605324,20582706,21401343
PC(16:0_16:0),649902438,536916102,747882636,723167426,543974825,430335854,954275378,782298812,671371597,536874270,653215970,599842348,1091340806,758275587,1063996201,1111645711
PC(16:0_18:0) (d9),136864760,118656285,150550860,146421175,112453388,86803512,171847041,142245622,122884366,92390889,121619515,108737718,4258503,3932145,6545303,6839300
PC(16:0_18:0),223570534,193601416,251772561,245234573,189513033,146064109,290376956,237740802,221098832,165942574,216158263,190214372,0,0,0,271198364
PC(16:0_18:1) (d9),1924681755,1512929046,1998571030,1986638373,1495280677,1118971697,2484063313,2046356790,1635167393,1315605075,1573559680,1520996618,5775002,4480740,10151172,12035137
PC(16:0_18:1),3830618815,3004982989,4136637243,4100330593,3073722191,2306255480,5281090271,4340685692,3687835425,2961447213,3526770321,3405060923,6430403277,4639850348,6690072565,6858614682
PC(16:0_20:3) (d9),117106926,95155140,139430988,134113030,92241764,72021116,140259709,131992190,105870713,84170381,99493860,93187944,5565716,4236625,8132388,9046801
PC(16:0_20:3),370582916,297282530,433939375,425791449,302158395,235043122,507030479,428459082,409200334,322256451,384423051,353351419,595483249,438989583,635828185,667639815
PC(16:0_22:5) (d9),82811869,66172923,87050765,81469917,64510243,51240912,113304384,91958165,73826954,58326308,70299841,66273455,89389,88328,228039,59140
PC(16:0_22:5),167316216,135989315,184379269,171929833,133113909,105494246,241017370,197725540,169603238,132632542,158528758,149453914,264821806,192664103,258914736,272728807
PC(18:0_18:1) (d9),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1753170
PC(18:0_18:1),779699526,651309340,958787591,895133291,618324452,492865231,1063091957,860930824,744752645,606410466,756142791,677911634,1319591114,919293346,1203563038,1375661911
PC(18:1_18:1) (d9),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC(18:1_18:1),0,0,0,0,0,0,0,0,0,0,0,0,5221871,6769109,11279460,9370591