Species,BL1.1,BL1.2,BL2.1,BL2.2,BL3.1,BL3.2,BUL1.1,BUL1.2,GL1.1,GL1.2,GL2.1,GL2.2,GL3.1,GL3.2,GUL1.1,GUL1.2
LPC 16:0,2952210,2758659,2416329,3219417,3829017,2975457,3434795,2987566,3940420,3096917,3996653,3618428,2889723,3990078,4365619,3399558
LPC 16:0 (d9),6610129,2897381,3657891,4057077,4244957,3711436,0,0,7777665,5209176,5477647,5975820,6821452,5665350,0,0
LPC 18:0,5653907,5193292,5861432,6117077,7690452,7110738,8311160,6465300,11527917,9733915,10229505,10364731,9924643,9283253,10741964,8913793
LPC 18:0 (d9),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPC 18:1,4361585,4586252,2703727,5243502,3956509,4555391,5740815,3480634,2950715,3360003,2587491,3584587,2289569,3437122,10077355,2418174
LPC 18:1 (d9),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC(16:0_16:1) (d9),7522225,8643005,8206904,10985337,7886248,7648144,0,0,3776446,2191124,1938999,2434938,1919308,2153536,0,0
PC(16:0_16:1),34853411,28729031,27204850,35606013,25689545,36992523,60521584,46450824,15734701,10949023,8515868,11227801,8357198,10648528,40391348,17709185
PC(16:0_20:5) (d9),2949980,3713134,3023701,4646194,3607870,3293834,0,0,2437104,2338136,1503996,2386519,1692640,2287405,0,0
PC(16:0_20:5),8478908,10192350,8810264,10425564,7859618,12795461,13875138,8864725,8034256,5664143,4636168,5210465,4348759,5487247,5879127,6225848
PC(17:0_18:1) (d9),6889740,7920601,6827493,9178041,6958161,6359822,0,0,3649257,3661735,2552768,2827026,1989492,0,0,0
PC(17:0_18:1),19403981,21990508,19470763,25648595,21411444,19400985,31614619,23893743,14731492,11484042,9918266,12500320,10091856,11839616,15488868,12932693
PC(18:0_18:0) (d9),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC(18:0_18:0),3886509,4211704,3821847,4872202,3909911,4252485,4141914,3240094,3815830,3187809,3296497,3660239,2957801,3701931,2129043,2321964
PC(16:0_16:0) (d9),728907604,765470681,747614808,961336907,800013023,747422084,85447636,61552969,520491134,356866354,328068630,379131271,325048140,353990833,27602577,38313604
PC(16:0_16:0),1515813317,1596824856,1541195354,1989324108,1630903905,1552710790,1872291413,1437139170,1355994140,1025898243,929976979,1081763331,935355578,1023792420,1417806188,1130938762
PC(16:0_18:0) (d9),167971484,206126988,154743398,207317419,190454265,171198621,0,0,118642195,89086294,81125000,85408842,91049222,102316133,0,0
PC(16:0_18:0),380614932,414037082,372923417,498905531,435615977,387954353,466550730,362393225,327527359,263481899,225389920,283591611,230269119,265671775,310602088,237674542
PC(16:0_18:1) (d9),3819844007,4241640120,4126822375,5216520444,4233717042,3850759970,0,0,2117304371,1278999323,1188826607,1402467565,1172392225,1361934392,0,0
PC(16:0_18:1),10543447863,11543380533,11073176285,14122319289,11290299003,10279194771,14030062502,10822703393,7881782650,5698789988,5214259244,6211010638,5226653634,6075907708,7890522334,6517562619
PC(16:0_18:2) (d9),41272681,45532725,42061853,52919486,47950717,45677274,0,0,14930944,9642607,9217487,12321498,9452077,11196909,0,0
PC(16:0_18:2),82126623,94196203,85258002,107993127,92482455,96203192,120633238,94552010,68328977,52873334,45368155,54787870,44965901,51284234,94852161,56070483
PC(16:0_18:3) (d9),8392458,6326451,8833090,13155309,5693513,5297681,0,0,2795196,1982628,1454055,1753771,1512551,2043858,0,0
PC(16:0_18:3),15900105,20869727,14652649,16217961,12592846,23383762,21860488,15194144,10530275,7256598,4381227,5190542,4629945,5183376,6761069,7789014
PC(16:0_20:3) (d9),288683330,316908948,311477975,334141891,326816976,343622289,14623645,11781118,179657644,85694167,94727611,90407457,95937422,84536473,4816251,7305402
PC(16:0_20:3),678596230,725576159,677579305,848724404,747095234,694351742,1016792200,788417380,547351650,398075362,354894025,421113764,364900197,406380608,530179268,434225424
PC(16:0_20:4) (d9),167035714,168773382,167827009,199333786,183080642,171402180,0,0,97160996,58885961,59979799,64823289,58063989,58865670,0,0
PC(16:0_20:4),443790347,446230703,434711953,525889256,501019847,464874548,630693739,478588933,381540927,282622387,266268940,302461412,260016436,282644385,366800175,309506560
PC(16:0_22:5) (d9),127644660,142984842,129250516,175255592,144192813,132606132,0,0,77248473,47468680,46858977,52341062,46458723,47767093,0,0
PC(16:0_22:5),397166005,399975936,387586515,494544177,439753987,402030985,541826543,406439148,336510116,246175333,231529799,259022334,225185471,243926101,303131530,271888174
PC(18:0_18:1) (d9),718436336,769643735,722307247,929984648,759859500,692652411,9931510,7125091,379259351,232172721,206760848,245200801,218388665,260580373,8424241,5044230
PC(18:0_18:1),2102356669,2214272166,2067885563,2658881968,2183684775,2006448652,2919258205,2228121101,1450415860,1029524560,910475497,1085573750,960575567,1061493695,1321954905,1061845383
PC(18:1_18:1) (d9),546735017,586257627,559247937,738831102,603303858,542308232,0,0,284014067,157918323,151892191,173595987,153151838,169718391,0,0
PC(18:1_18:1),1544955395,1688049425,1579274258,2024023992,1709085330,1562347657,2267142794,1745957744,1065248157,717392726,654368071,756449852,664617105,738280740,893708535,778863673