MerozoiteNo,Treatment
22, -RAP
26, -RAP
20, -RAP
16, -RAP
23, -RAP
29, -RAP
23, -RAP
18, -RAP
15, -RAP
24, -RAP
30, -RAP
28, -RAP
23, -RAP
20, -RAP
28, -RAP
17, -RAP
21, -RAP
20, -RAP
23, -RAP
24, -RAP
29, -RAP
19, -RAP
15, -RAP
30, -RAP
22, -RAP
31, -RAP
21, -RAP
19, -RAP
26, -RAP
24, -RAP
24, -RAP
25, -RAP
24, -RAP
19, -RAP
30, -RAP
18, -RAP
30, -RAP
24, -RAP
23, -RAP
23, -RAP
23, -RAP
21, -RAP
22, -RAP
15, -RAP
24, -RAP
18, -RAP
25, -RAP
30, -RAP
17, -RAP
20, -RAP
27, +RAP
18, +RAP
20, +RAP
17, +RAP
15, +RAP
17, +RAP
17, +RAP
15, +RAP
15, +RAP
20, +RAP
16, +RAP
17, +RAP
16, +RAP
16, +RAP
20, +RAP
20, +RAP
25, +RAP
16, +RAP
26, +RAP
22, +RAP
20, +RAP
21, +RAP
19, +RAP
20, +RAP
22, +RAP
20, +RAP
26, +RAP
15, +RAP
27, +RAP
21, +RAP
21, +RAP
22, +RAP
21, +RAP
19, +RAP
26, +RAP
22, +RAP
17, +RAP
19, +RAP
19, +RAP
16, +RAP
21, +RAP
19, +RAP
20, +RAP
21, +RAP
16, +RAP
20, +RAP
16, +RAP