Line,Average Fold Increase
 -Cho +RAP,0.960084034
 -Cho +RAP,0.966666667
 -Cho +RAP,1.37254902
 -Cho +RAP,1.448994253
 -Cho +RAP,0.963888889
 -Cho +RAP,0.834343112
 -Cho +RAP,0.978959276
 -Cho +RAP,1.261623402
 +Cho +RAP,3.355212355
 +Cho +RAP,4.244017094
 +Cho +RAP,3.388146168
 +Cho +RAP,6.854166667
 +Cho +RAP,6.186188993
 +Cho +RAP,6.306882464
 +Cho +RAP,4.162814815
 +Cho +RAP,3.99226625
 +Cho +RAP,4.521634954
 +Cho +RAP,2.220454545
 +Cho +RAP,4.062235229
 +Cho +RAP,2.285039327
 +Cho -RAP,7.792844715
 +Cho -RAP,6.688907285
 +Cho -RAP,7.597612065
 +Cho -RAP,4.85381727
 +Cho -RAP,4.975909924
 +Cho -RAP,4.204759313
 -Cho -RAP,7.726719799
 -Cho -RAP,6.520945946
 -Cho -RAP,6.40530303
 -Cho -RAP,4.41805042
 -Cho -RAP,4.556964842
 -Cho -RAP,5.25331232
 +Eth +RAP,1.589912281
 +Eth +RAP,2.592156863
 +Eth +RAP,2.72556391
 +Eth +RAP,2.575286416
 +Eth +RAP,1.773573201
 +Eth -RAP,5.047204969
 +Eth -RAP,5.642857143
 +Eth -RAP,5.255059524
 +Eth -RAP,5.156944444
 +Eth -RAP,5.205216017
 +Eth -RAP,5.567085954
 +Ser +RAP,1.291132479
 +Ser +RAP,1.684371524
 +Ser +RAP,1.368351064
 +Ser -RAP,4.127991048
 +Ser -RAP,6.284340871
 +Ser -RAP,4.298930481