Concentration,Parasitaemia
1000,3.7
1000,2.96
1000,2.64
1000,2.91
1000,2.98
1000,2.39
500,3.45
500,2.68
500,2.94
500,2.71
500,2.99
500,3.32
250,2.08
250,1.75
250,1.79
250,1.84
250,1.85
250,1.28
125,1.09
125,0.81
125,1.02
125,1.02
125,1.08
125,0.88
62.5,0.82
62.5,0.79
62.5,0.71
62.5,0.67
62.5,0.52
62.5,0.19
31.25,0.65
31.25,0.49
31.25,0.71
31.25,0.63
31.25,0.64
31.25,0.59
15.625,0.61
15.625,0.41
15.625,0.46
15.625,0.35
15.625,0.38
15.625,0.14
7.8125,0.43
7.8125,0.34
7.8125,0.4
7.8125,0.45
7.8125,0.61
7.8125,0.66
3.906,0.74
3.906,0.37
3.906,0.45
3.906,0.52
3.906,0.25
3.906,0.1
1.95,0.62
1.95,0.43
1.95,0.56
1.95,0.27
1.95,0.44
1.95,0.85